id,歌名,歌手,语种,主打歌,SC
303,"床","草东没有派对","国语",0,0
304,"噢！天使","小狗的骨头","国语",0,0
305,"喜欢","张悬","国语",0,0
306,"别问很可怕（女声版）","yihuik","国语",0,0
307,"我的秘密","邓紫棋","国语",1,0
308,"红色高跟鞋","蔡健雅","国语",1,0
309,"阴天快乐","陈奕迅","国语",0,0
310,"修炼爱情","林俊杰","国语",0,0
311,"孤勇者","陈奕迅","国语",0,0
312,"光年之外","邓紫棋","国语",0,0
313,"星辰大海","黄宵云","国语",0,1
314,"大鱼","周深","国语",0,0
315,"血腥爱情故事","张惠妹","国语",0,1
316,"大小姐和大少爷的反派生涯","周存","国语",0,0
317,"勾指起誓","ilem","国语",0,0
318,"失眠飞行","接个吻,开一枪","国语",0,0
319,"九九八十一","乐正绫","国语",1,0
320,"永不失联的爱","周兴哲","国语",1,0
321,"入秋的第一场雨真让人矫情","ChiliChili","国语",0,0
322,"想和你迎着台风去看海","桑拿猫黑糖","国语",0,0
323,"屑屑","ChiliChili","国语",0,0
324,"衡山路宛平路","ChiliChili","国语",0,1
325,"难过233秒","ChiliChili","国语",0,0
326,"我的悲伤是水做的","ChiliChili","国语",0,0
327,"青花瓷","周杰伦","国语",0,0
328,"我用什么把你留住","福禄寿FloruitShow","国语",0,0
329,"超度我","福禄寿FloruitShow","国语",0,0
